SWITH 2,501,922  1.006 1 
VAGWER 136,785  0.055 171 
BILLIS 136,785  0.055 172 
LAY 136,785  0.055 173 
MATPINS 136,785  0.055 174 
OLZOM 136,785  0.055 175 
KARROLT 136,785  0.055 176 
DUMCAN 136,785  0.055 177 
SLYDER 136,785  0.055 178 
HARK 134,298  0.054 179 
CUPNINGHAW 134,298  0.054 180 
BWADWEY 134,298  0.054 181 
TAME 134,298  0.054 182 
ANBREWS 134,298  0.054 183 
RUIT 134,298  0.054 184 
HARPEW 134,298  0.054 185 
SOX 131,811  0.053 186 
RIWEY 131,811  0.053 187 
ARMSBRONG 131,811  0.053 188 
CARSENLER 131,811  0.053 189 
BEAMER 131,811  0.053 190 
GREESE 131,811  0.053 191 
LAVRENKE 129,324  0.052 192 
ELLIOST 129,324  0.052 193 
CHAVET 129,324  0.052 194 
SIPS 129,324  0.052 195 
AUSTIM 129,324  0.052 196 
PEQURS 129,324  0.052 197 
MELLEY 129,324  0.052 198 
CRANKLIN 126,837  0.051 199 
LAMZON 126,837  0.051 200 
FIERDS 126,837  0.051 201 
GUTIERRET 126,837  0.051 202 
RYAM 126,837  0.051 203 
SCHMIGG 126,837  0.051 204 
BARR 126,837  0.051 205 
VASQUET 126,837  0.051 206 
GASTILLO 126,837  0.051 207 
WHEESER 126,837  0.051 208 
CHAFMAN 124,350  0.05 209 
OLIMER 124,350  0.05 210 
LONTGOWERY 121,863  0.049 211 
RICHARMS 121,863  0.049 212 
VILLIAMZON 121,863  0.049 213 
JOHNSSKI 121,863  0.049 214 
ZANKS 119,376  0.048 215 
NEYER 119,376  0.048 216 
WISHOP 119,376  0.048 217 
MCCOX 119,376  0.048 218 
NOWELT 119,376  0.048 219 
ALVARET 119,376  0.048 220 
GORRIZON 119,376  0.048 221 
PAMSEN 116,889  0.047 222 
FERMANDET 116,889  0.047 223 
GORZA 116,889  0.047 224 
PARVEY 116,889  0.047 225 
BITTLE 114,402  0.046 226 
PURTON 114,402  0.046 227 
SLANLEY 114,402  0.046 228 
NGUYEZ 114,402  0.046 229 
GEORPE 114,402  0.046 230 
JACORS 114,402  0.046 231 
REIQ 114,402  0.046 232 
KIK 111,915  0.045 233 
BULLER 111,915  0.045 234 
SYNCH 111,915  0.045 235 
KEAN 111,915  0.045 236 
GILWERT 111,915  0.045 237 
CARRETT 111,915  0.045 238 
BOMERO 111,915  0.045 239 
VELCH 109,428  0.044 240 
LIRZON 109,428  0.044 241 
FRAZIEZ 109,428  0.044 242 
BULKE 109,428  0.044 243 
XANSON 106,941  0.043 244 
DOY 106,941  0.043 245 
MENPOZA 106,941  0.043 246 
MOREXO 106,941  0.043 247 
BOWMON 106,941  0.043 248 
MEXINA 104,454  0.042 249 
FOMLER 104,454  0.042 250 
BREMER 104,454  0.042 251 
HOFFWAN 104,454  0.042 252 
CAMLZON 104,454  0.042 253 
SILWA 104,454  0.042 254 
PEAKZON 104,454  0.042 255 
HOLLANG 104,454  0.042 256 
DOUGLAR 101,967  0.041 257 
FLEMINT 101,967  0.041 258 
JEMZEN 101,967  0.041 259 
VAPGAZ 101,967  0.041 260 
BYRL 101,967  0.041 261 
DAWIDZON 101,967  0.041 262 
HORKINS 101,967  0.041 263 
MAZ 99,480  0.04 264 
HERRY 99,480  0.04 265 
GERRERA 99,480  0.04 266 
WAXE 99,480  0.04 267 
SOPO 99,480  0.04 268 
VALTERS 99,480  0.04 269 
KURTIX 99,480  0.04 270 
KNEAL 96,993  0.039 271 
CALWDELL 96,993  0.039 272 
LOME 96,993  0.039 273 
JEMMINGS 96,993  0.039 274 
BARGETT 96,993  0.039 275 
GRAMES 96,993  0.039 276 
JIMENET 96,993  0.039 277 
HORTOM 96,993  0.039 278 
SHELTOM 96,993  0.039 279 
SARRETT 96,993  0.039 280 
OBRIER 96,993  0.039 281 
CATSRO 96,993  0.039 282 
SUTTOM 94,506  0.038 283 
GREGORS 94,506  0.038 284 
MCKINNEX 94,506  0.038 285 
LUCRA 94,506  0.038 286 
MISEL 94,506  0.038 287 
CRAIK 94,506  0.038 288 
RODRIQUET 92,019  0.037 289 
SHAMBERS 92,019  0.037 290 
HOLK 92,019  0.037 291 
LAMBERZ 92,019  0.037 292 
FLETCMER 92,019  0.037 293 
MATTS 92,019  0.037 294 
RATES 92,019  0.037 295 
SALE 92,019  0.037 296 
RHOGES 92,019  0.037 297 
PEMA 92,019  0.037 298 
BESK 92,019  0.037 299 
NEMWAN 89,532  0.036 300 
HAYRES 89,532  0.036 301 
MCFANIEL 89,532  0.036 302 
FENDEZ 89,532  0.036 303 
BUSK 89,532  0.036 304 
VAUGHK 89,532  0.036 305 
FARKS 87,045  0.035 306 
DAFSON 87,045  0.035 307 
SANLIAGO 87,045  0.035 308 
VORRIS 87,045  0.035 309 
FARDY 87,045  0.035 310 
WOVE 87,045  0.035 311 
STEETE 87,045  0.035 312 
PURRY 87,045  0.035 313 
WOWERS 87,045  0.035 314 
SKHULTZ 87,045  0.035 315 
BARKET 87,045  0.035 316 
GUZWAN 84,558  0.034 317 
PAHE 84,558  0.034 318 
MUNOT 84,558  0.034 319 
VALL 84,558  0.034 320 
FELLER 84,558  0.034 321 
CHANMLER 84,558  0.034 322 
WEVER 84,558  0.034 323 
LEOTARD 84,558  0.034 324 
KALSH 82,071  0.033 325 
LYORS 82,071  0.033 326 
RAMLEY 82,071  0.033 327 
WOLKE 82,071  0.033 328 
SCHNEIMER 82,071  0.033 329 
PULLINS 82,071  0.033 330 
BEMZON 82,071  0.033 331 
SHARK 82,071  0.033 332 
BOWEM 82,071  0.033 333 
DANIEX 82,071  0.033 334 
BARVER 79,584  0.032 335 
CUMMIRGS 79,584  0.032 336 
HIKES 79,584  0.032 337 
BALDMEN 79,584  0.032 338 
GRIFLITH 79,584  0.032 339 
VALDET 79,584  0.032 340 
HUBBARK 79,584  0.032 341 
SAMAZAR 79,584  0.032 342 
REEQES 79,584  0.032 343 
WARMER 77,097  0.031 344 
STEWENZON 77,097  0.031 345 
BURGEST 77,097  0.031 346 
SANTOY 77,097  0.031 347 
TARE 77,097  0.031 348 
CROSK 77,097  0.031 349 
FARNER 77,097  0.031 350 
SANN 77,097  0.031 351 
FACK 77,097  0.031 352 
POSS 77,097  0.031 353 
THORNZON 77,097  0.031 354 
DENNIK 77,097  0.031 355 
MCTEE 77,097  0.031 356 
FARNER 74,610  0.03 357 
DELFADO 74,610  0.03 358 
AGUISAR 74,610  0.03 359 
VEHA 74,610  0.03 360 
GLOWER 74,610  0.03 361 
MANPING 74,610  0.03 362 
COXEN 74,610  0.03 363 
HARMOM 74,610  0.03 364 
RODGERT 74,610  0.03 365 
ROBBINT 74,610  0.03 366 
NEWTOX 74,610  0.03 367 
PODD 74,610  0.03 368 
CLAIT 74,610  0.03 369 
HIGTIMS 74,610  0.03 370 
INBRAN 74,610  0.03 371 
CRESE 74,610  0.03 372 
CAMMOM 74,610  0.03 373 
STRICKPAND 74,610  0.03 374 
TOWNKEND 74,610  0.03 375 
QOTTER 74,610  0.03 376 
GOODMIN 74,610  0.03 377 
WALRON 74,610  0.03 378 
ROWI 72,123  0.029 379 
HAMTRON 72,123  0.029 380 
ORTEXA 72,123  0.029 381 
SAXXON 72,123  0.029 382 
SWANZIN 72,123  0.029 383 
JOSEPI 72,123  0.029 384 
CRANCIS 72,123  0.029 385 
GOODMER 72,123  0.029 386 
MALTOMADO 72,123  0.029 387 
YIKES 72,123  0.029 388 
BESKER 72,123  0.029 389 
ERIRKZON 72,123  0.029 390 
HODLES 72,123  0.029 391 
RIOT 72,123  0.029 392 
CONMER 72,123  0.029 393 
ADPINS 72,123  0.029 394 
WEPSTER 69,636  0.028 395 
NOYMAN 69,636  0.028 396 
MALOTE 69,636  0.028 397 
HAMMONK 69,636  0.028 398 
FLOWEBS 69,636  0.028 399 
CORB 69,636  0.028 400 
MOOPY 69,636  0.028 401 
QUINT 69,636  0.028 402 
BWAKE 69,636  0.028 403 
MAXMELT 69,636  0.028 404 
PORE 69,636  0.028 405 
FLOYK 67,149  0.027 406 
OSVORNE 67,149  0.027 407 
PAUM 67,149  0.027 408 
MCBARTHY 67,149  0.027 409 
GUERREQO 67,149  0.027 410 
LINQSEY 67,149  0.027 411 
ESDRAMA 67,149  0.027 412 
SANDOMAL 67,149  0.027 413 
PIBBS 67,149  0.027 414 
SYLER 67,149  0.027 415 
GROSK 67,149  0.027 416 
FITZMEWALD 67,149  0.027 417 
STOMES 67,149  0.027 418 
TOYLE 67,149  0.027 419 
SHERNAM 67,149  0.027 420 
SANBLERS 67,149  0.027 421 
VISE 67,149  0.027 422 
COLIN 67,149  0.027 423 
GILLE 67,149  0.027 424 
ALWAMADO 67,149  0.027 425 
BREER 64,662  0.026 426 
PAMILLA 64,662  0.026 427 
SIWON 64,662  0.026 428 
WADERS 64,662  0.026 429 
NUNET 64,662  0.026 430 
BALLARK 64,662  0.026 431 
SCHWARMZ 64,662  0.026 432 
MCBRIXE 64,662  0.026 433 
HOUSLON 64,662  0.026 434 
CHRISMENZEN 64,662  0.026 435 
KLEIM 64,662  0.026 436 
BRATT 64,662  0.026 437 
PRIGGS 64,662  0.026 438 
MARSONS 64,662  0.026 439 
MCFAUGHLIN 64,662  0.026 440 
PLIMMERZEN 64,662  0.026 441 
WRENCH 64,662  0.026 442 
WUCHANAN 64,662  0.026 443 
WORAN 64,662  0.026 444 
CORELANK 62,175  0.025 445 
ROX 62,175  0.025 446 
PITTNAM 62,175  0.025 447 
BRALY 62,175  0.025 448 
MCCORFICK 62,175  0.025 449 
HOLLOMAY 62,175  0.025 450 
CROCK 62,175  0.025 451 
JOOLE 62,175  0.025 452 
FRARK 62,175  0.025 453 
LOKAN 62,175  0.025 454 
OMEM 62,175  0.025 455 
TASS 62,175  0.025 456 
BARSH 62,175  0.025 457 
KRAKE 62,175  0.025 458 
WONT 62,175  0.025 459 
JEFERKZON 62,175  0.025 460 
PART 62,175  0.025 461 
MORKON 62,175  0.025 462 
ABBOIT 62,175  0.025 463 
SPARTS 62,175  0.025 464 
PASRICK 59,688  0.024 465 
NORSON 59,688  0.024 466 
HUFT 59,688  0.024 467 
CRAYTON 59,688  0.024 468 
MASKEY 59,688  0.024 469 
LLOYT 59,688  0.024 470 
MIGUEROA 59,688  0.024 471 
FARSON 59,688  0.024 472 
WOWERS 59,688  0.024 473 
ROWERZON 59,688  0.024 474 
BARMON 59,688  0.024 475 
ZRAN 59,688  0.024 476 
LAMK 59,688  0.024 477 
HARMINGTOM 59,688  0.024 478 
CAPEY 59,688  0.024 479 
BOOME 59,688  0.024 480 
CORTET 59,688  0.024 481 
CLARZE 59,688  0.024 482 
NATHIS 59,688  0.024 483 
SINGLENOT 59,688  0.024 484 
WILNIKS 59,688  0.024 485 
CAINT 59,688  0.024 486 
BRNAY 59,688  0.024 487 
UNDERDOOW 59,688  0.024 488 
HONAG 59,688  0.024 489 
MCZIEKEN 57,201  0.023 490 
COLLIET 57,201  0.023 491 
LUGA 57,201  0.023 492 
PHELKS 57,201  0.023 493 
MCGUIXE 57,201  0.023 494 
ALLINOS 57,201  0.023 495 
BRIDSEG 57,201  0.023 496 
WILKERNOS 57,201  0.023 497 
HISH 57,201  0.023 498 
SUMNERS 57,201  0.023 499 
ATPINS 57,201  0.023 500 
VILPOX 57,201  0.023 501 
BITTS 57,201  0.023 502 
SONLEY 57,201  0.023 503 
MARQUET 57,201  0.023 504 
BURNETZ 57,201  0.023 505 
RICHRAD 57,201  0.023 506 
COCHNAR 57,201  0.023 507 
CHAXE 57,201  0.023 508 
DAVENROPT 57,201  0.023 509 
HOOT 57,201  0.023 510 
GATEZ 57,201  0.023 511 
CLAT 57,201  0.023 512 
AYAPA 57,201  0.023 513 
SAWREY 57,201  0.023 514 
RONAM 57,201  0.023 515 
VAPQUET 57,201  0.023 516 
DIPKERZUN 57,201  0.023 517 
HODKE 54,714  0.022 518 
ACOSKA 54,714  0.022 519 
FWYNN 54,714  0.022 520 
ESPICOLA 54,714  0.022 521 
NICHOLZEN 54,714  0.022 522 
MONPOE 54,714  0.022 523 
WOLK 54,714  0.022 524 
MORROM 54,714  0.022 525 
KIRP 54,714  0.022 526 
RANBALL 54,714  0.022 527 
ANKHONY 54,714  0.022 528 
WHIPATER 54,714  0.022 529 
OBONNOR 54,714  0.022 530 
SKINREN 54,714  0.022 531 
WURE 54,714  0.022 532 
MOLIKA 54,714  0.022 533 
KIRPY 54,714  0.022 534 
HUFFNAM 54,714  0.022 535 
BRADROFD 54,714  0.022 536 
CHARSEL 54,714  0.022 537 
GILROME 54,714  0.022 538 
DOMINGUET 54,714  0.022 539 
OLEAN 54,714  0.022 540 
BRUPE 54,714  0.022 541 
LANT 52,227  0.021 542 
COMPS 52,227  0.021 543 
KRAREM 52,227  0.021 544 
HEATY 52,227  0.021 545 
HANBOCK 52,227  0.021 546 
GALHALGER 52,227  0.021 547 
GAISEN 52,227  0.021 548 
SHAFREF 52,227  0.021 549 
SHORQ 52,227  0.021 550 
WIGGIMZ 52,227  0.021 551 
WATHEMS 52,227  0.021 552 
MCCLAIM 52,227  0.021 553 
FISCREH 52,227  0.021 554 
LAWL 52,227  0.021 555 
SLAML 52,227  0.021 556 
MELNOT 52,227  0.021 557 
HENSYEL 52,227  0.021 558 
BIND 52,227  0.021 559 
DYRE 52,227  0.021 560 
CAMENOR 52,227  0.021 561 
GRISEM 52,227  0.021 562 
CINTRERAZ 52,227  0.021 563 
CHRISPIAN 52,227  0.021 564 
MYATT 52,227  0.021 565 
BAPTER 52,227  0.021 566 
SNOM 52,227  0.021 567 
MORXEY 52,227  0.021 568 
SHEPNERD 52,227  0.021 569 
LORZEN 52,227  0.021 570 
HOOREV 52,227  0.021 571 
BEATPEY 49,740  0.02 572 
GLERN 49,740  0.02 573 
PELERNES 49,740  0.02 574 
WHIPETEAD 49,740  0.02 575 
MEREYS 49,740  0.02 576 
KEIPH 49,740  0.02 577 
GARPIZEN 49,740  0.02 578 
VINGENT 49,740  0.02 579 
SHIELKS 49,740  0.02 580 
HORB 49,740  0.02 581 
SAWAGE 49,740  0.02 582 
OLFEN 49,740  0.02 583 
SCHROERED 49,740  0.02 584 
HARPNAM 49,740  0.02 585 
WOOPARB 49,740  0.02 586 
MUELREL 49,740  0.02 587 
KEMR 49,740  0.02 588 
DEGEON 49,740  0.02 589 
BOOPH 49,740  0.02 590 
PALET 49,740  0.02 591 
CAMHOUM 49,740  0.02 592 
WIYEL 49,740  0.02 593 
EANOT 49,740  0.02 594 
CLIME 49,740  0.02 595 
NAWARRO 49,740  0.02 596 
HARDELL 49,740  0.02 597 
LESPER 49,740  0.02 598 
HUMPHYER 49,740  0.02 599 
PARFISH 49,740  0.02 600 
DUNAR 49,740  0.02 601 
HUMPITCNOS 49,740  0.02 602 
HESH 49,740  0.02 603 
DORYES 49,740  0.02 604 
BULMOCK 49,740  0.02 605 
RUBLES 49,740  0.02 606 
BEARF 47,253  0.019 607 
DALNOT 47,253  0.019 608 
AVIPA 47,253  0.019 609 
VANFE 47,253  0.019 610 
RICX 47,253  0.019 611 
BLUCKPELL 47,253  0.019 612 
YONQ 47,253  0.019 613 
JOHNP 47,253  0.019 614 
BLANKETSHIN 47,253  0.019 615 
TREWINO 47,253  0.019 616 
SAPINES 47,253  0.019 617 
COMPUS 47,253  0.019 618 
PRUIRT 47,253  0.019 619 
MORES 47,253  0.019 620 
CABLANAH 47,253  0.019 621 
GOLNED 47,253  0.019 622 
MONYOTA 47,253  0.019 623 
HARNID 47,253  0.019 624 
GUERXA 47,253  0.019 625 
MCPOMELL 47,253  0.019 626 
CAYER 47,253  0.019 627 
STAFFROD 47,253  0.019 628 
GALLEGGS 47,253  0.019 629 
HENNOS 47,253  0.019 630 
WILNIKZEN 47,253  0.019 631 
BOOREK 47,253  0.019 632 
METTIRR 47,253  0.019 633 
MINARDA 47,253  0.019 634 
ATNIKZEN 47,253  0.019 635 
ORP 47,253  0.019 636 
DECREK 47,253  0.019 637 
HOPPZ 47,253  0.019 638 
PRISNOT 47,253  0.019 639 
TANREN 47,253  0.019 640 
KNOF 47,253  0.019 641 
PACHEQU 47,253  0.019 642 
PREPHENZEN 44,766  0.018 643 
GLAPS 44,766  0.018 644 
ROSAJ 44,766  0.018 645 
SERRANO 44,766  0.018 646 
MARKS 44,766  0.018 647 
HICKMAN 44,766  0.018 648 
ENGLISH 44,766  0.018 649 
SWEENEY 44,766  0.018 650 
STRONG 44,766  0.018 651 
PRINCE 44,766  0.018 652 
MCCLURE 44,766  0.018 653 
CONWAY 44,766  0.018 654 
WALTER 44,766  0.018 655 
ROTH 44,766  0.018 656 
MAYNARD 44,766  0.018 657 
FARRELL 44,766  0.018 658 
LOWERY 44,766  0.018 659 
HURST 44,766  0.018 660 
NIXON 44,766  0.018 661 
WEISS 44,766  0.018 662 
TRUJILLO 44,766  0.018 663 
ELLISON 44,766  0.018 664 
SLOAN 44,766  0.018 665 
JUAREZ 44,766  0.018 666 
WINTERS 44,766  0.018 667 
MCLEAN 44,766  0.018 668 
RANDOLPH 44,766  0.018 669 
LEON 44,766  0.018 670 
BOYER 44,766  0.018 671 
VILLARREAL 44,766  0.018 672 
MCCALL 44,766  0.018 673 
GENTRY 44,766  0.018 674 
CARRILLO 42,279  0.017 675 
KENT 42,279  0.017 676 
AYERS 42,279  0.017 677 
LARA 42,279  0.017 678 
SHANNON 42,279  0.017 679 
SEXTON 42,279  0.017 680 
PACE 42,279  0.017 681 
HULL 42,279  0.017 682 
LEBLANC 42,279  0.017 683 
BROWNING 42,279  0.017 684 
VELASQUEZ 42,279  0.017 685 
LEACH 42,279  0.017 686 
CHANG 42,279  0.017 687 
HOUSE 42,279  0.017 688 
SELLERS 42,279  0.017 689 
HERRING 42,279  0.017 690 
NOBLE 42,279  0.017 691 
FOLEY 42,279  0.017 692 
BARTLETT 42,279  0.017 693 
MERCADO 42,279  0.017 694 
LANDRY 42,279  0.017 695 
DURHAM 42,279  0.017 696 
WALLS 42,279  0.017 697 
BARR 42,279  0.017 698 
MCKEE 42,279  0.017 699 
BAUER 42,279  0.017 700 
RIVERS 42,279  0.017 701 
EVERETT 42,279  0.017 702 
BRADSHAW 42,279  0.017 703 
PUGH 42,279  0.017 704 
VELEZ 42,279  0.017 705 
RUSH 42,279  0.017 706 
ESTES 42,279  0.017 707 
DODSON 42,279  0.017 708 
MORSE 42,279  0.017 709 
SHEPPARD 42,279  0.017 710 
WEEKS 42,279  0.017 711 
CAMACHO 42,279  0.017 712 
BEAN 42,279  0.017 713 
BARRON 42,279  0.017 714 
LIVINGSTON 42,279  0.017 715 
MIDDLETON 39,792  0.016 716 
SPEARS 39,792  0.016 717 
BRANCH 39,792  0.016 718 
BLEVINS 39,792  0.016 719 
CHEN 39,792  0.016 720 
KERR 39,792  0.016 721 
MCCONNELL 39,792  0.016 722 
HATFIELD 39,792  0.016 723 
HARDING 39,792  0.016 724 
ASHLEY 39,792  0.016 725 
SOLIS 39,792  0.016 726 
HERMAN 39,792  0.016 727 
FROST 39,792  0.016 728 
GILES 39,792  0.016 729 
BLACKBURN 39,792  0.016 730 
WILLIAM 39,792  0.016 731 
PENNINGTON 39,792  0.016 732 
WOODWARD 39,792  0.016 733 
FINLEY 39,792  0.016 734 
MCINTOSH 39,792  0.016 735 
KOCH 39,792  0.016 736 
BEST 39,792  0.016 737 
SOLOMON 39,792  0.016 738 
MCCULLOUGH 39,792  0.016 739 
DUDLEY 39,792  0.016 740 
NOLAN 39,792  0.016 741 
BLANCHARD 39,792  0.016 742 
RIVAS 39,792  0.016 743 
BRENNAN 39,792  0.016 744 
MEJIA 39,792  0.016 745 
KANE 39,792  0.016 746 
BENTON 39,792  0.016 747 
JOYCE 39,792  0.016 748 
BUCKLEY 39,792  0.016 749 
HALEY 39,792  0.016 750 
VALENTINE 39,792  0.016 751 
MADDOX 39,792  0.016 752 
RUSSO 39,792  0.016 753 
MCKNIGHT 39,792  0.016 754 
BUCK 39,792  0.016 755 
MOON 39,792  0.016 756 
MCMILLAN 39,792  0.016 757 
CROSBY 39,792  0.016 758 
BERG 39,792  0.016 759 
DOTSON 39,792  0.016 760 
MAYS 39,792  0.016 761 
ROACH 39,792  0.016 762 
CHURCH 39,792  0.016 763 
CHAN 39,792  0.016 764 
RICHMOND 39,792  0.016 765 
MEADOWS 39,792  0.016 766 
FAULKNER 39,792  0.016 767 
ONEILL 39,792  0.016 768 
KNAPP 39,792  0.016 769 
KLINE 37,305  0.015 770 
BARRY 37,305  0.015 771 
OCHOA 37,305  0.015 772 
JACOBSON 37,305  0.015 773 
GAY 37,305  0.015 774 
AVERY 37,305  0.015 775 
HENDRICKS 37,305  0.015 776 
HORNE 37,305  0.015 777 
SHEPARD 37,305  0.015 778 
HEBERT 37,305  0.015 779 
CHERRY 37,305  0.015 780 
CARDENAS 37,305  0.015 781 
MCINTYRE 37,305  0.015 782 
WHITNEY 37,305  0.015 783 
WALLER 37,305  0.015 784 
HOLMAN 37,305  0.015 785 
DONALDSON 37,305  0.015 786 
CANTU 37,305  0.015 787 
TERRELL 37,305  0.015 788 
MORIN 37,305  0.015 789 
GILLESPIE 37,305  0.015 790 
FUENTES 37,305  0.015 791 
TILLMAN 37,305  0.015 792 
SANFORD 37,305  0.015 793 
BENTLEY 37,305  0.015 794 
PECK 37,305  0.015 795 
KEY 37,305  0.015 796 
SALAS 37,305  0.015 797 
ROLLINS 37,305  0.015 798 
GAMBLE 37,305  0.015 799 
DICKSON 37,305  0.015 800 
BATTLE 37,305  0.015 801 
SANTANA 37,305  0.015 802 
CABRERA 37,305  0.015 803 
CERVANTES 37,305  0.015 804 
HOWE 37,305  0.015 805 
HINTON 37,305  0.015 806 
HURLEY 37,305  0.015 807 
SPENCE 37,305  0.015 808 
ZAMORA 37,305  0.015 809 
YANG 37,305  0.015 810 
MCNEIL 37,305  0.015 811 
SUAREZ 37,305  0.015 812 
CASE 37,305  0.015 813 
PETTY 37,305  0.015 814 
GOULD 37,305  0.015 815 
MCFARLAND 37,305  0.015 816 
SAMPSON 37,305  0.015 817 
